family	bosnian_form	hr_form	sr_form	rate_bs	rate_hr	rate_sr	share_vs_hr	share_vs_sr	assoc_hr	assoc_sr	n_aligned_hr	n_aligned_sr	mined_hr	mined_sr
abdullah	abdullah		abdulah	69.83	76.51	0.39	0.4772	0.9944		0.950	0	179		bs->alt
abdullah	abdullaha		abdulaha	16.29	16.65	0.00	0.4946	1.0000		0.810	0	42		bs->alt
abdullah	abdullahom		abdulahom	20.56	15.46	0.00	0.5708	1.0000		0.943	0	53		bs->alt
advokat	advokat	odvjetnik		42.29	0.00	46.92	1.0000	0.4740	0.908		109	0	bs->alt	
advokat	advokata	odvjetnika		17.07	0.00	20.33	1.0000	0.4564	0.841		44	0	bs->alt	
afganistan	afganistan		avganistan	21.34	26.16	0.00	0.4492	1.0000		0.927	0	55		bs->alt
afganistan	afganistana		avganistana	21.34	17.84	0.00	0.5446	1.0000		0.691	0	55		bs->alt
afganistan	afganistanu		avganistanu	70.61	71.36	0.39	0.4973	0.9945		0.928	0	181		bs->alt
ahtisaari	ahtisaari		ahtisari	70.61	75.32	0.00	0.4838	1.0000		0.923	0	182		bs->alt
ahtisaari	ahtisaarija		ahtisarija	46.94	34.49	0.00	0.5765	1.0000		0.876	0	121		bs->alt
ahtisaari	ahtisaarijev		ahtisarijev	33.75	30.13	0.00	0.5283	1.0000		0.920	0	87		bs->alt
ahtisaarijevog	ahtisaarijevog		ahtisarijevog	17.07	3.57	0.39	0.8271	0.9776		0.860	0	43		bs->alt
ahtisaarijevog	ahtisaarijevom		ahtisarijevom	23.66	1.98	0.00	0.9227	1.0000		0.705	0	61		bs->alt
akcioni	akcioni	akcijski		25.60	0.00	27.76	1.0000	0.4798	0.818		66	0	bs->alt	
akcioni	akcionog	akcijskog		15.13	0.00	14.47	1.0000	0.5112	0.744		39	0	bs->alt	
ambasada	ambasada	veleposlanstvo		40.73	0.00	42.23	1.0000	0.4910	0.648		105	0	bs->alt	
ambasada	ambasade	veleposlanstva		46.94	0.00	46.92	1.0000	0.5001	0.835		121	0	bs->alt	
