term_id	category	bosnian_forms	hr_forms	sr_forms	n_clips_in_run
duhan	h	duhan|duhana|duhanu|duhanski|duhanske|duhanskih		duvan|duvana|duvanu|duvanski|duvanske	0
kuhati	h	kuhati|kuha|kuhanje|kuhano|kuhinja|kuhinje|kuhinji		kuvati|kuva|kuvanje|kuvano|kujna|kujne	0
porodica	lex	porodica|porodice|porodici|porodicu|porodicama|porodični|porodičnog|porodične	obitelj|obitelji|obiteljima|obiteljski|obiteljskog		4
Evropa	lex	evropa|evrope|evropi|evropu|evropski|evropska|evropske|evropskog|evropskom|evropskih|evropskoj|evropskim	europa|europe|europi|europu|europski|europska|europske|europskog|europskom|europskih|europskoj		2
sedmica	lex	sedmica|sedmice|sedmici|sedmicu|sedmicama	tjedan|tjedna|tjednu|tjedni|tjedana|nedelja|nedelje|nedelju	tjedan|tjedna|tjednu|tjedni|tjedana|nedelja|nedelje|nedelju	1
univerzitet	lex	univerzitet|univerziteta|univerzitetu|univerziteti|univerzitetski|univerzitetskog	sveučilište|sveučilišta|sveučilištu|sveučilišni		1
historija	lex	historija|historije|historiju|historiji|historijski|historijska|historijske|historijskog|historijskom|historijskih	istorija|istorije|istoriju|istoriji|istorijski|istorijska|istorijske|istorijskog|povijest|povijesti|povijesni|povijesna	istorija|istorije|istoriju|istoriji|istorijski|istorijska|istorijske|istorijskog|povijest|povijesti|povijesni|povijesna	1
hiljada	lex	hiljada|hiljadu|hiljade|hiljadama	tisuća|tisuću|tisuće|tisućama		1
avion	lex	avion|aviona|avionu|avioni|avionima|avionska|avionski	zrakoplov|zrakoplova|zrakoplovu|zrakoplovi		1
hemija	lex	hemija|hemije|hemijski|hemijska|hemijskog|hemijske|hemijskih|hemijsko	kemija|kemije|kemijski|kemijska|kemijskog|kemijske		1
oktobar	lex	januar|januara|februar|februara|april|aprila|juni|juna|juli|jula|august|augusta|septembar|septembra|oktobar|oktobra|novembar|novembra|decembar|decembra	siječanj|siječnja|veljača|veljače|travanj|travnja|lipanj|lipnja|srpanj|srpnja|kolovoz|kolovoza|rujan|rujna|listopad|listopada|studeni|studenog|prosinac|prosinca		0
učestvovati	lex	učestvovati|učestvovao|učestvuju|učestvovali|učestvuje|učestvovala|učešće|učešća	sudjelovati|sudjelovao|sudjeluju|sudjelovali|sudjeluje|sudjelovanje		0
ambasada	lex	ambasada|ambasade|ambasadi|ambasadu|ambasador|ambasadora|ambasadoru	veleposlanstvo|veleposlanstva|veleposlanstvu|veleposlanik|veleposlanika		0
općina	lex	općina|općine|općini|općinu|općinama|općinski|općinskog|općinskih|općinske		opština|opštine|opštini|opštinu|opštinama|opštinski|opštinskog|opštinskih|opštinske	0
tačka	lex	tačka|tačke|tački|tačku|tačno|tačan|tačna	točka|točke|točki|točku|točno|točan|točna		0
štampa	lex	štampa|štampe|štampi|štampu|štampanje|štampani	tisak|tiska|tisku		0
voz	lex	voz|voza|vozu|vozovi|vozova	vlak|vlaka|vlaku|vlakovi|vlakova		0
dvije	yat	dvije		dve	6
mjesto	yat	mjesto		mesto	6
riječi	yat	riječi		reči	5
svijetu	yat	svijetu		svetu	4
posjete	yat	posjete		posete	3
primjer	yat	primjer		primer	3
uvijek	yat	uvijek		uvek	2
mjeseca	yat	mjeseca		meseca	2
vrijeme	yat	vrijeme		vreme	2
mjesta	yat	mjesta		mesta	2
sjeveru	yat	sjeveru		severu	2
zahtjeva	yat	zahtjeva		zahteva	2
zahtijeva	yat	zahtijeva		zahteva	2
savjetnik	yat	savjetnik		savetnik	2
mijenja	yat	mijenja		menja	2
sjeverni	yat	sjeverni		severni	2
svijest	yat	svijest		svest	2
podijeljen	yat	podijeljen		podeljen	2
predsjednik	yat	predsjednik		predsednik	1
nedjelju	yat	nedjelju		nedelju	1
vjerovatno	yat	vjerovatno		verovatno	1
mjestu	yat	mjestu		mestu	1
djeca	yat	djeca		deca	1
mjesec	yat	mjesec		mesec	1
djecu	yat	djecu		decu	1
vrijednost	yat	vrijednost		vrednost	1
cijele	yat	cijele		cele	1
cijelom	yat	cijelom		celom	1
riječ	yat	riječ		reč	1
zamijeniti	yat	zamijeniti		zameniti	1
dijelova	yat	dijelova		delova	1
osjeća	yat	osjeća		oseća	1
rijetko	yat	rijetko		retko	1
vještine	yat	vještine		veštine	1
vijeka	yat	vijeka		veka	1
primjenjuje	yat	primjenjuje		primenjuje	1
vjetar	yat	vjetar		vetar	1
smješten	yat	smješten		smešten	1
snijeg	yat	snijeg		sneg	1
odjeću	yat	odjeću		odeću	1
izvještaju	yat	izvještaju		izveštaju	0
predsjednika	yat	predsjednika		predsednika	0
riječima	yat	riječima		rečima	0
mjere	yat	mjere		mere	0
mjeseci	yat	mjeseci		meseci	0
rješenje	yat	rješenje		rešenje	0
izvještaj	yat	izvještaj		izveštaj	0
vrijednosti	yat	vrijednosti		vrednosti	0
mjera	yat	mjera		mera	0
cijena	yat	cijena		cena	0
prijedlog	yat	prijedlog		predlog	0
izvještajima	yat	izvještajima		izveštajima	0
rješenja	yat	rješenja		rešenja	0
posjetu	yat	posjetu		posetu	0
djece	yat	djece		dece	0
promjene	yat	promjene		promene	0
ovdje	yat	ovdje		ovde	0
rješavanje	yat	rješavanje		rešavanje	0
lijevo	yat	lijevo		levo	0
svjetskog	yat	svjetskog		svetskog	0
vjeruje	yat	vjeruje		veruje	0
umjesto	yat	umjesto		umesto	0
predsjedavajući	yat	predsjedavajući		predsedavajući	0
procjenjuje	yat	procjenjuje		procenjuje	0
naprijed	yat	naprijed		napred	0
izvještaja	yat	izvještaja		izveštaja	0
posjeta	yat	posjeta		poseta	0
promjena	yat	promjena		promena	0
dijelu	yat	dijelu		delu	0
uspjeh	yat	uspjeh		uspeh	0
pobjedu	yat	pobjedu		pobedu	0
pobijedio	yat	pobijedio		pobedio	0
svjetski	yat	svjetski		svetski	0
obezbijediti	yat	obezbijediti		obezbediti	0
vjerujem	yat	vjerujem		verujem	0
djela	yat	djela		dela	0
svjetska	yat	svjetska		svetska	0
umjetnosti	yat	umjetnosti		umetnosti	0
mjeri	yat	mjeri		meri	0
uslijedila	yat	uslijedila		usledila	0
vjeruju	yat	vjeruju		veruju	0
vijesti	yat	vijesti		vesti	0
potpredsjednik	yat	potpredsjednik		potpredsednik	0
cijenu	yat	cijenu		cenu	0
cjelini	yat	cjelini		celini	0
svijet	yat	svijet		svet	0
uspjela	yat	uspjela		uspela	0
ocjenu	yat	ocjenu		ocenu	0
dijela	yat	dijela		dela	0
rijeke	yat	rijeke		reke	0
nedjelje	yat	nedjelje		nedelje	0
uspjeli	yat	uspjeli		uspeli	0
posjetilaca	yat	posjetilaca		posetilaca	0
uspješno	yat	uspješno		uspešno	0
čovjek	yat	čovjek		čovek	0
izbjeglica	yat	izbjeglica		izbeglica	0
svjetlo	yat	svjetlo		svetlo	0
usmjeren	yat	usmjeren		usmeren	0
mjestima	yat	mjestima		mestima	0
pobjede	yat	pobjede		pobede	0
sjevernoj	yat	sjevernoj		severnoj	0
vjerske	yat	vjerske		verske	0
zamjenika	yat	zamjenika		zamenika	0
prijelaza	yat	prijelaza		prelaza	0
prijedlogu	yat	prijedlogu		predlogu	0
sjednici	yat	sjednici		sednici	0
namjerava	yat	namjerava		namerava	0
sjeverne	yat	sjeverne		severne	0
promjenama	yat	promjenama		promenama	0
zamjenu	yat	zamjenu		zamenu	0
bezbjednost	yat	bezbjednost		bezbednost	0
cijelu	yat	cijelu		celu	0
djelimično	yat	djelimično		delimično	0
spriječiti	yat	spriječiti		sprečiti	0
naslijeđe	yat	naslijeđe		nasleđe	0
osjećaj	yat	osjećaj		osećaj	0
pjesmu	yat	pjesmu		pesmu	0
podjela	yat	podjela		podela	0
predsjedničkih	yat	predsjedničkih		predsedničkih	0
osjećaju	yat	osjećaju		osećaju	0
cijeni	yat	cijeni		ceni	0
izmjena	yat	izmjena		izmena	0
prijenos	yat	prijenos		prenos	0
bezbjednosti	yat	bezbjednosti		bezbednosti	0
promjenu	yat	promjenu		promenu	0
sjevera	yat	sjevera		severa	0
obezbjeđuje	yat	obezbjeđuje		obezbeđuje	0
zahtjevima	yat	zahtjevima		zahtevima	0
smije	yat	smije		sme	0
donijela	yat	donijela		donela	0
uspjeha	yat	uspjeha		uspeha	0
dijelove	yat	dijelove		delove	0
pjesme	yat	pjesme		pesme	0
podjelu	yat	podjelu		podelu	0
prosječna	yat	prosječna		prosečna	0
povrijeđeno	yat	povrijeđeno		povređeno	0
prijevremene	yat	prijevremene		prevremene	0
unaprijed	yat	unaprijed		unapred	0
slijede	yat	slijede		slede	0
prosjeka	yat	prosjeka		proseka	0
procjene	yat	procjene		procene	0
sjevernog	yat	sjevernog		severnog	0
prijedloge	yat	prijedloge		predloge	0
razmjena	yat	razmjena		razmena	0
podijeljena	yat	podijeljena		podeljena	0
izvještaji	yat	izvještaji		izveštaji	0
unaprjeđenja	yat	unaprjeđenja		unapređenja	0
drugdje	yat	drugdje		drugde	0
vijest	yat	vijest		vest	0
posjetila	yat	posjetila		posetila	0
sjednice	yat	sjednice		sednice	0
namjerno	yat	namjerno		namerno	0
pjevač	yat	pjevač		pevač	0
cijelo	yat	cijelo		celo	0
dijelovi	yat	dijelovi		delovi	0
čovjeka	yat	čovjeka		čoveka	0
upotrijebiti	yat	upotrijebiti		upotrebiti	0
oduvijek	yat	oduvijek		oduvek	0
susjednim	yat	susjednim		susednim	0
negdje	yat	negdje		negde	0
prijelazu	yat	prijelazu		prelazu	0
svjetskim	yat	svjetskim		svetskim	0
prijelazima	yat	prijelazima		prelazima	0
umjetnost	yat	umjetnost		umetnost	0
mjeru	yat	mjeru		meru	0
uspješan	yat	uspješan		uspešan	0
obavještajne	yat	obavještajne		obaveštajne	0
umjetnik	yat	umjetnik		umetnik	0
smjenu	yat	smjenu		smenu	0
sjećanja	yat	sjećanja		sećanja	0
sjedišta	yat	sjedišta		sedišta	0
podijeljeni	yat	podijeljeni		podeljeni	0
prijevoz	yat	prijevoz		prevoz	0
procjenjuju	yat	procjenjuju		procenjuju	0
potpredsjednika	yat	potpredsjednika		potpredsednika	0
izmijeni	yat	izmijeni		izmeni	0
neuspjeh	yat	neuspjeh		neuspeh	0
neizbježno	yat	neizbježno		neizbežno	0
promijenila	yat	promijenila		promenila	0
zauvijek	yat	zauvijek		zauvek	0
pjesma	yat	pjesma		pesma	0
razumijevanje	yat	razumijevanje		razumevanje	0
posjetioce	yat	posjetioce		posetioce	0
živjeli	yat	živjeli		živeli	0
bijegu	yat	bijegu		begu	0
smjeru	yat	smjeru		smeru	0
zahtijevajući	yat	zahtijevajući		zahtevajući	0
spriječi	yat	spriječi		spreči	0
sprječava	yat	sprječava		sprečava	0
pretrpjela	yat	pretrpjela		pretrpela	0
susjedne	yat	susjedne		susedne	0
osjećam	yat	osjećam		osećam	0
spriječili	yat	spriječili		sprečili	0
namijenjen	yat	namijenjen		namenjen	0
prijedlozi	yat	prijedlozi		predlozi	0
obezbijedi	yat	obezbijedi		obezbedi	0
vjetra	yat	vjetra		vetra	0
umjetničke	yat	umjetničke		umetničke	0
rješavaju	yat	rješavaju		rešavaju	0
sjevernu	yat	sjevernu		severnu	0
prijenosa	yat	prijenosa		prenosa	0
prijevoznika	yat	prijevoznika		prevoznika	0
svjetsku	yat	svjetsku		svetsku	0
doživjeti	yat	doživjeti		doživeti	0
smjene	yat	smjene		smene	0
uslijed	yat	uslijed		usled	0
smjernice	yat	smjernice		smernice	0
mijenjaju	yat	mijenjaju		menjaju	0
miješanje	yat	miješanje		mešanje	0
lijepo	yat	lijepo		lepo	0
bijes	yat	bijes		bes	0
nepovjerenje	yat	nepovjerenje		nepoverenje	0
namjerom	yat	namjerom		namerom	0
primjera	yat	primjera		primera	0
promijenio	yat	promijenio		promenio	0
prijestolnica	yat	prijestolnica		prestolnica	0
zamijenio	yat	zamijenio		zamenio	0
primjenu	yat	primjenu		primenu	0
zahtijevao	yat	zahtijevao		zahtevao	0
djevojke	yat	djevojke		devojke	0
izbjegavaju	yat	izbjegavaju		izbegavaju	0
izbjegavanje	yat	izbjegavanje		izbegavanje	0
izbjegne	yat	izbjegne		izbegne	0
