term_id	category	alt_variety	bosnian_forms	alt_forms	n_bosnian_sources	n_alt_in_bosnian_sources	heldout_n_bosnian	heldout_n_alt	heldout_share	n_clips_in_run
duhan	h	sr	duhan|duhana|duhanu|duhanski|duhanske|duhanskih	duvan|duvana|duvanu|duvanski|duvanske	76	0	75	0	1.0	0
kuhati	h	sr	kuhati|kuha|kuhanje|kuhano|kuhinja|kuhinje|kuhinji	kuvati|kuva|kuvanje|kuvano|kujna|kujne	56	0	55	0	1.0	0
porodica	lex	hr	porodica|porodice|porodici|porodicu|porodicama|porodični|porodičnog|porodične	obitelj|obitelji|obiteljima|obiteljski|obiteljskog	1015	2	1012	2	0.998	4
Evropa	lex	hr	evropa|evrope|evropi|evropu|evropski|evropska|evropske|evropskog|evropskom|evropskih|evropskoj|evropskim	europa|europe|europi|europu|europski|europska|europske|europskog|europskom|europskih|europskoj	7173	52	7169	52	0.9928	2
sedmica	lex	hr/sr	sedmica|sedmice|sedmici|sedmicu|sedmicama	tjedan|tjedna|tjednu|tjedni|tjedana|nedelja|nedelje|nedelju	2118	1	2116	1	0.9995	1
univerzitet	lex	hr	univerzitet|univerziteta|univerzitetu|univerziteti|univerzitetski|univerzitetskog	sveučilište|sveučilišta|sveučilištu|sveučilišni	895	1	890	1	0.9989	1
historija	lex	sr/hr	historija|historije|historiju|historiji|historijski|historijska|historijske|historijskog|historijskom|historijskih	istorija|istorije|istoriju|istoriji|istorijski|istorijska|istorijske|istorijskog|povijest|povijesti|povijesni|povijesna	849	9	845	9	0.9895	1
hiljada	lex	hr	hiljada|hiljadu|hiljade|hiljadama	tisuća|tisuću|tisuće|tisućama	485	0	481	0	1.0	1
avion	lex	hr	avion|aviona|avionu|avioni|avionima|avionska|avionski	zrakoplov|zrakoplova|zrakoplovu|zrakoplovi	197	0	195	0	1.0	1
hemija	lex	hr	hemija|hemije|hemijski|hemijska|hemijskog|hemijske|hemijskih|hemijsko	kemija|kemije|kemijski|kemijska|kemijskog|kemijske	63	0	61	0	1.0	1
oktobar	lex	hr	januar|januara|februar|februara|april|aprila|juni|juna|juli|jula|august|augusta|septembar|septembra|oktobar|oktobra|novembar|novembra|decembar|decembra	siječanj|siječnja|veljača|veljače|travanj|travnja|lipanj|lipnja|srpanj|srpnja|kolovoz|kolovoza|rujan|rujna|listopad|listopada|studeni|studenog|prosinac|prosinca	10253	1	10251	1	0.9999	0
učestvovati	lex	hr	učestvovati|učestvovao|učestvuju|učestvovali|učestvuje|učestvovala|učešće|učešća	sudjelovati|sudjelovao|sudjeluju|sudjelovali|sudjeluje|sudjelovanje	1232	19	1231	19	0.9848	0
ambasada	lex	hr	ambasada|ambasade|ambasadi|ambasadu|ambasador|ambasadora|ambasadoru	veleposlanstvo|veleposlanstva|veleposlanstvu|veleposlanik|veleposlanika	833	0	833	0	1.0	0
općina	lex	sr	općina|općine|općini|općinu|općinama|općinski|općinskog|općinskih|općinske	opština|opštine|opštini|opštinu|opštinama|opštinski|opštinskog|opštinskih|opštinske	724	7	724	7	0.9904	0
tačka	lex	hr	tačka|tačke|tački|tačku|tačno|tačan|tačna	točka|točke|točki|točku|točno|točan|točna	440	3	436	3	0.9932	0
štampa	lex	hr	štampa|štampe|štampi|štampu|štampanje|štampani	tisak|tiska|tisku	362	0	362	0	1.0	0
voz	lex	hr	voz|voza|vozu|vozovi|vozova	vlak|vlaka|vlaku|vlakovi|vlakova	83	1	82	1	0.988	0
dvije	yat	sr	dvije	dve	2015	0	2003	0	1.0	6
mjesto	yat	sr	mjesto	mesto	948	1	939	1	0.9989	6
riječi	yat	sr	riječi	reči	219	0	216	0	1.0	5
svijetu	yat	sr	svijetu	svetu	545	6	541	6	0.989	4
posjete	yat	sr	posjete	posete	638	0	636	0	1.0	3
primjer	yat	sr	primjer	primer	514	1	511	1	0.998	3
uvijek	yat	sr	uvijek	uvek	2074	0	2070	0	1.0	2
mjeseca	yat	sr	mjeseca	meseca	1460	0	1456	0	1.0	2
vrijeme	yat	sr	vrijeme	vreme	1237	12	1231	12	0.9903	2
mjesta	yat	sr	mjesta	mesta	1185	0	1182	0	1.0	2
sjeveru	yat	sr	sjeveru	severu	888	3	885	3	0.9966	2
zahtjeva	yat	sr	zahtjeva	zahteva	230	1	228	1	0.9956	2
zahtijeva	yat	sr	zahtijeva	zahteva	188	1	186	1	0.9947	2
savjetnik	yat	sr	savjetnik	savetnik	143	0	142	0	1.0	2
mijenja	yat	sr	mijenja	menja	71	0	68	0	1.0	2
sjeverni	yat	sr	sjeverni	severni	70	0	68	0	1.0	2
svijest	yat	sr	svijest	svest	57	0	56	0	1.0	2
podijeljen	yat	sr	podijeljen	podeljen	42	0	41	0	1.0	2
predsjednik	yat	sr	predsjednik	predsednik	3034	1	3033	1	0.9997	1
nedjelju	yat	sr	nedjelju	nedelju	1218	0	1217	0	1.0	1
vjerovatno	yat	sr	vjerovatno	verovatno	661	0	658	0	1.0	1
mjestu	yat	sr	mjestu	mestu	560	0	555	0	1.0	1
djeca	yat	sr	djeca	deca	270	0	268	0	1.0	1
mjesec	yat	sr	mjesec	mesec	217	0	216	0	1.0	1
djecu	yat	sr	djecu	decu	204	0	201	0	1.0	1
vrijednost	yat	sr	vrijednost	vrednost	165	0	163	0	1.0	1
cijele	yat	sr	cijele	cele	160	0	158	0	1.0	1
cijelom	yat	sr	cijelom	celom	153	0	151	0	1.0	1
riječ	yat	sr	riječ	reč	93	0	91	0	1.0	1
zamijeniti	yat	sr	zamijeniti	zameniti	75	0	74	0	1.0	1
dijelova	yat	sr	dijelova	delova	75	0	74	0	1.0	1
osjeća	yat	sr	osjeća	oseća	64	0	63	0	1.0	1
rijetko	yat	sr	rijetko	retko	59	0	58	0	1.0	1
vještine	yat	sr	vještine	veštine	52	0	51	0	1.0	1
vijeka	yat	sr	vijeka	veka	42	0	41	0	1.0	1
primjenjuje	yat	sr	primjenjuje	primenjuje	36	0	35	0	1.0	1
vjetar	yat	sr	vjetar	vetar	35	0	33	0	1.0	1
smješten	yat	sr	smješten	smešten	30	0	24	0	1.0	1
snijeg	yat	sr	snijeg	sneg	30	0	29	0	1.0	1
odjeću	yat	sr	odjeću	odeću	30	0	29	0	1.0	1
izvještaju	yat	sr	izvještaju	izveštaju	1218	0	1218	0	1.0	0
