term_id	category	bosnian_forms	alt_forms	alt_variety	n_flores	n_ntrex	n_setimes	n_bosnian_sources	n_alt_in_bosnian_sources	n_alt_in_mixed_bcs	bosnian_share	n_opensubtitles	n_alt_opensubtitles	opensubtitles_share	accept_en
duhan	h	duhan|duhana|duhanu|duhanski|duhanske|duhanskih	duvan|duvana|duvanu|duvanski|duvanske	sr	1	0	75	76	0	1	1.0	329	309	0.5157	tobacco|products|smoke|cigarette
kuhati	h	kuhati|kuha|kuhanje|kuhano|kuhinja|kuhinje|kuhinji	kuvati|kuva|kuvanje|kuvano|kujna|kujne	sr	7	0	49	56	0	3	1.0	6715	893	0.8826	cuisine|cooking|kitchens|cooks|cooked
oktobar	lex	januar|januara|februar|februara|april|aprila|juni|juna|juli|jula|august|augusta|septembar|septembra|oktobar|oktobra|novembar|novembra|decembar|decembra	siječanj|siječnja|veljača|veljače|travanj|travnja|lipanj|lipnja|srpanj|srpnja|kolovoz|kolovoza|rujan|rujna|listopad|listopada|studeni|studenog|prosinac|prosinca	hr	39	32	10182	10253	1	27	0.9999	7464	2705	0.734	october|january|february|december|november|september|april|june
Evropa	lex	evropa|evrope|evropi|evropu|evropski|evropska|evropske|evropskog|evropskom|evropskih|evropskoj|evropskim	europa|europe|europi|europu|europski|europska|europske|europskog|europskom|europskih|europskoj	hr	34	39	7100	7173	52	186	0.9928	3017	1576	0.6569	europe|commission|integration|commissioner|enlargement
sedmica	lex	sedmica|sedmice|sedmici|sedmicu|sedmicama	tjedan|tjedna|tjednu|tjedni|tjedana|nedelja|nedelje|nedelju	hr/sr	12	45	2061	2118	1	29	0.9995	11489	26303	0.304	week|weeks
učestvovati	lex	učestvovati|učestvovao|učestvuju|učestvovali|učestvuje|učestvovala|učešće|učešća	sudjelovati|sudjelovao|sudjeluju|sudjelovali|sudjeluje|sudjelovanje	hr	6	9	1217	1232	19	128	0.9848	1312	963	0.5767	participation|participate|participated|involvement|participating
porodica	lex	porodica|porodice|porodici|porodicu|porodicama|porodični|porodičnog|porodične	obitelj|obitelji|obiteljima|obiteljski|obiteljskog	hr	21	27	967	1015	2	42	0.998	34528	14576	0.7032	family|families|violence|domestic
univerzitet	lex	univerzitet|univerziteta|univerzitetu|univerziteti|univerzitetski|univerzitetskog	sveučilište|sveučilišta|sveučilištu|sveučilišni	hr	17	11	867	895	1	16	0.9989	2189	509	0.8113	university|universities
historija	lex	historija|historije|historiju|historiji|historijski|historijska|historijske|historijskog|historijskom|historijskih	istorija|istorije|istoriju|istoriji|istorijski|istorijska|istorijske|istorijskog|povijest|povijesti|povijesni|povijesna	sr/hr	21	10	818	849	9	171	0.9895	1324	8647	0.1328	history|historic|historical
ambasada	lex	ambasada|ambasade|ambasadi|ambasadu|ambasador|ambasadora|ambasadoru	veleposlanstvo|veleposlanstva|veleposlanstvu|veleposlanik|veleposlanika	hr	1	5	827	833	0	7	1.0	2256	468	0.8282	ambassador|embassy
