file	text	confidence
mly_1000110751498959_000.png	kuca	0.85
mly_1000110751498959_001.png	7	0.97
mly_1000110751498959_002.png	dska	0.74
mly_1001120940668793_000.png	P	0.99
mly_1002751984934007_001.png	hesp ,	0.52
mly_1003308426968528_000.png	Gornja Kustosii	0.96
mly_1003308426968528_004.png	nova]	0.57
mly_1003308426968528_005.png	Imax]_	0.48
mly_1003737988035850_000.png	CITY	0.98
mly_1003737988035850_001.png	[	0.46
mly_1003746713962646_000.png	Auto-0008b	0.88
mly_1003746713962646_003.png	13:52:24	0.57
mly_1003746713962646_004.png	033kmh	0.93
mly_1003746713962646_005.png	MIC OFF	0.76
mly_1003746713962646_006.png	BLACKUUE	0.99
mly_1003746713962646_007.png	DR750S-ZCHFHD	0.82
mly_1003746713962646_008.png	FHD	1.00
mly_1003846687458835_000.png	Auto €008b	0.44
mly_1003846687458835_001.png	2023	0.96
mly_1003846687458835_002.png	07-20	0.84
mly_1003846687458835_003.png	13:56 : 47	0.87
mly_1003846687458835_004.png	BZ4knh	0.54
mly_1003846687458835_005.png	MIC OFF	0.75
mly_1003846687458835_006.png	BLACKUUE DR750S-ZCHFHD	0.52
mly_1003846687458835_007.png	FHD	0.99
mly_1004124144055836_000.png	Auto-0008b	0.82
mly_1004124144055836_002.png	PULL	0.41
mly_1004124144055836_003.png	2023	0.98
mly_1004124144055836_005.png	818kih	0.41
mly_1004124144055836_006.png	MIC	0.79
mly_1004124144055836_007.png	UFT	0.76
mly_1004124144055836_008.png	BLACKUUE	0.61
mly_1005462600845475_001.png	novalijo	0.65
mly_1005462600845475_003.png	Popravci	1.00
mly_1005462600845475_004.png	OTKUPZLATA	0.40
mly_1005893493551735_000.png	P	1.00
mly_1006668549994293_000.png	Dinoil	0.45
mly_1006754020976557_000.png	038kmh	0.96
mly_1006754020976557_001.png	MIC OFF /NU	0.73
mly_1006754020976557_002.png	BLACKUE   DR9BOM-ICHUHD	0.45
mly_1006875544374972_000.png	'Labi	0.45
mly_1007660293959804_001.png	USEUM	0.99
mly_1007842460939719_001.png	1	0.90
mly_101098352493378_000.png	817knh	0.71
mly_101098352493378_001.png	MIC	0.75
mly_1011344666968384_000.png	2023/04/0220:38:17	0.99
mly_1011550960050053_003.png	189	0.64
mly_1011580169583380_000.png	HIC OFF /NU	0.66
mly_1011583466857599_001.png	2023-07-20	0.76
mly_1011583466857599_002.png	13:57:07	0.65
mly_1011583466857599_004.png	MIC OFF	0.87
mly_1012086753549064_000.png	Auto-0008b	0.77
mly_1012086753549064_002.png	2023-07-14 14:07 : 18	0.53
mly_1012086753549064_004.png	MIC OFF	0.85
mly_1012926346931244_000.png	4	0.85
mly_1012926346931244_001.png	{	0.99
mly_1013236612838636_000.png	2021	1.00
mly_1013236612838636_001.png	05-14 12:05:11	0.85
mly_1013236612838636_003.png	HDR	0.97
mly_1015149526706469_001.png	HIC OFF /NU	0.84
mly_1015149526706469_002.png	BLACKUE   DR9BOM-1CHUHD	0.46
mly_1016139241427119_000.png	eraye	0.43
mly_1016139241427119_003.png	SHOP	0.99
mly_1016311227554887_001.png	ŽUJA	0.51
mly_1016311227554887_003.png	PBIVATE	0.47
mly_1016311227554887_005.png	AtM	0.80
mly_1016311227554887_006.png	bankomat	1.00
mly_1016311227554887_007.png	95 515	0.83
mly_1016311227554887_010.png	2892!	0.57
mly_1016311227554887_011.png	+385	0.54
mly_1019483285623877_000.png	BAZAR	1.00
mly_1019483285623877_002.png	BAZAR	0.57
mly_1019633375232828_000.png	NIC UFF /NU	0.83
mly_1019656218827993_000.png	MIC OFF /NU	0.52
mly_1019953531870062_000.png	mala kuhinja	1.00
mly_1024796226851656_001.png	P	0.87
mly_1025005862470561_000.png	InfoBosnia	0.61
mly_1025005862470561_001.png	DREAM	1.00
mly_1025005862470561_002.png	BALKANS	0.99
mly_1025005862470561_004.png	TOURIST	1.00
mly_1025005862470561_005.png	INFORMATION	1.00
mly_1025005862470561_006.png	CENTRE	1.00
mly_1025005862470561_007.png	5	1.00
mly_1025005862470561_008.png	METERS	1.00
mly_1025005862470561_009.png	(	0.99
mly_1026217358057708_000.png	(STOP]	0.52
mly_1030932475472206_003.png	rana	0.93
mly_1031628312727451_000.png	PRI IA	0.48
mly_1031852977846989_000.png	1	0.77
mly_1031980278122272_000.png	Auto-0008b	0.95
mly_1031980278122272_002.png	07-14 13:57:Z2	0.62
mly_1031980278122272_003.png	a50kmh	0.43
mly_1031980278122272_004.png	MIC OFF	0.70
mly_1031980278122272_005.png	BLACKUUE DR750S-ZCH FHD-FHD	0.58
mly_1032840160964559_000.png	P	0.77
mly_1033195761814748_000.png	Auto-0008b	0.52
mly_1033195761814748_003.png	2024-08-09	0.72
mly_1033195761814748_004.png	11:02*34	0.48
mly_1033195761814748_005.png	013knvh	0.52
mly_1033195761814748_007.png	OFF	1.00
mly_1033195761814748_008.png	BLACKUUE   DR750S-ZCH FHD-FHD	0.47
mly_1035214978324735_000.png	(Pinac	0.43
mly_1036606274290869_002.png	BESPLATI	0.91
mly_1036606274290869_003.png	KONTROLA	0.98
mly_1037587635325693_000.png	8	0.98
mly_1038394573359437_000.png	P	0.85
mly_1039140966613744_000.png	zila	0.66
mly_1039140966613744_001.png	je 3	0.84
mly_1039140966613744_002.png	Ambasadel	0.77
mly_1039140966613744_003.png	mjesta	1.00
mly_1039152766799552_000.png	GRZELA	0.99
mly_1039317273823375_000.png	Gornji Grad	0.98
mly_1039317273823375_001.png	P	1.00
mly_1039317273823375_003.png	200 m	0.62
mly_1040785145239372_001.png	cistin podava	0.77
mly_1041129541621126_001.png	P	0.53
mly_1044314126732820_000.png	Auto-0008b	0.61
mly_1044314126732820_001.png	2823-07-20	0.79
mly_1044314126732820_002.png	13:51:48	0.78
mly_1044314126732820_003.png	041knh	0.55
mly_1044314126732820_004.png	MIC	0.52
mly_1044314126732820_006.png	BLACKUE	0.96
mly_1045440332722958_000.png	Coffee	0.61
mly_1046343606104777_001.png	HOMEQ	0.43
mly_1046606653386482_000.png	Auto-00086	0.64
mly_1046606653386482_003.png	019kih	0.87
mly_1046606653386482_004.png	MIC	0.60
mly_1046606653386482_005.png	UFF	0.85
mly_1048583607442051_000.png	ur	0.99
mly_1048583607442051_002.png	OMPUTERS	1.00
mly_1048583607442051_005.png	Prodair	0.69
mly_1048969754015819_000.png	1981	0.97
mly_1050203912567339_000.png	Auto-0008b;	0.44
mly_1050203912567339_001.png	UniCred	0.90
mly_1050203912567339_002.png	2023	0.95
mly_1050203912567339_004.png	0Z8kih	0.56
mly_1050203912567339_005.png	MIC OFF	0.78
mly_1050203912567339_006.png	BLACKUUE DR?50S-ZCHFHD-FHD	0.55
mly_1050203912567339_008.png	guma	0.99
mly_1050462270700860_000.png	Travanj	1.00
mly_1050509125475956_001.png	( 122	0.97
mly_1051541644026601_000.png	P	0.99
mly_1051541644026601_001.png	500 m	0.87
mly_1052054143041859_002.png	JYSK	0.97
mly_1052118282422542_000.png	2023/04/02	1.00
mly_1052118282422542_001.png	14:39:05	1.00
mly_1052963529857299_000.png	Jkn	0.82
mly_1052963529857299_001.png	MIC OFF /NU	0.70
mly_1053155087361264_000.png	ODEJA	0.75
mly_1053155087361264_002.png	našedon	0.61
mly_1055711636300570_000.png	P	0.87
mly_1057021087283552_000.png	P	1.00
mly_1058110386432365_000.png	MOBITEL	1.00
mly_1058110386432365_001.png	dm	0.53
mly_1058382471670242_000.png	P	0.99
mly_1059004521696787_000.png	STOP	1.00
mly_1061840607556166_001.png	OFFICE	0.98
mly_1061840607556166_004.png	KING	0.91
mly_1061840607556166_006.png	EXCURSIONS	0.69
mly_1061840607556166_007.png	TOURIST	1.00
mly_1061840607556166_008.png	ENIACNICA	0.80
mly_1062943615152473_001.png	MIC OFF /NU	0.66
mly_1063834129488813_000.png	8	0.63
mly_1064164070905104_000.png	Parf	0.43
mly_1064164070905104_001.png	5	0.96
mly_1064164070905104_003.png	190	0.46
mly_1064487057445889_000.png	2	0.74
mly_1064487057445889_001.png	053knh	0.59
mly_1064487057445889_002.png	MIC OFF /NU	0.74
mly_1064580700843695_000.png	521	0.56
mly_1064888111284804_000.png	Ikmh	0.52
mly_1064888111284804_001.png	NU	0.89
mly_1065771500613375_000.png	MIC UFF /NU	0.42
mly_1066948137547861_003.png	REALISTI	0.75
mly_1066948137547861_004.png	SHAKE	0.49
mly_1071370140135241_000.png	Anancial	0.82
mly_1071370140135241_002.png	l	0.62
mly_1071917050823794_000.png	APIO	0.50
mly_1074002663124564_000.png	Centar	1.00
mly_1074023520496849_001.png	5Om	0.43
mly_1074023520496849_002.png	40	1.00
mly_1074023520496849_003.png	PEDIKER	0.45
mly_1074677359722117_000.png	u	0.93
mly_1075769423840771_001.png	MIC OFF /NU	0.82
mly_1075857359572241_000.png	El	0.82
mly_1076593500520589_001.png	MIC OFF /NU	0.72
mly_107820195145156_000.png	046kmh	0.57
mly_107820195145156_001.png	MIC OFF /NU	0.58
mly_1078704989506548_000.png	244	0.71
mly_1079415066182475_000.png	848knh	0.55
mly_1079415066182475_001.png	HIC	0.81
mly_1083438010184818_000.png	8	0.92
mly_1083438010184818_001.png	2	0.97
mly_1086065332136332_001.png	2017/05/26	0.91
mly_1086334079632690_000.png	KNJIZARA SVJETLOST	0.75
mly_1086676411743176_001.png	CEVA	0.89
mly_1086772018483944_000.png	ALTAZAR	0.93
mly_1086772018483944_003.png	ENI PARTNER	0.99
mly_1087367649560103_000.png	@KNIIZARA SVJETLOST	0.61
mly_1088676871655665_000.png	(((	0.79
mly_1088676871655665_001.png	AUTOMATIC DOOR	0.86
mly_1088676871655665_003.png	BLACKUE   DR9BOM-1CHUHD	0.46
mly_1090240516072983_000.png	Uper	0.68
mly_1090825641988738_000.png	034kih	0.58
mly_1090825641988738_001.png	MIC OFF /NU	0.82
mly_1091580474700487_001.png	STANICA	0.71
mly_1091651041328506_001.png	PIZZA	0.64
mly_1091651041328506_002.png	CAFFE	1.00
mly_1092209562327788_002.png	Split	0.52
mly_1092305821725721_001.png	MIC OFF /NU	0.62
mly_109314534565484_002.png	"	0.88
mly_1093675804451813_001.png	OD POLIE	0.45
mly_1093675804451813_003.png	Do	0.40
mly_1093675804451813_004.png	STOLA	0.91
mly_1093675804451813_008.png	SVEZE	0.54
mly_1093850214433577_000.png	MIC UFF /NU	0.69
mly_1094427057732218_001.png	coboljsanc krvne slike	0.47
mly_1094427057732218_002.png	s manjenjc umora	0.73
mly_1094427057732218_004.png	uonicl	0.73
mly_1094427057732218_008.png	160m	0.78
mly_1094550381031176_000.png	065kmh	0.51
mly_1094550381031176_001.png	nIc	0.40
mly_1095883597570990_000.png	024kmh	0.52
mly_1095883597570990_001.png	MIC	0.64
mly_1096361815258162_000.png	a58knh	0.47
mly_1096361815258162_001.png	MIC OFF /NU	0.65
mly_1096474199906816_000.png	omlinar	0.78
mly_1097404361331731_001.png	MIC OFF /NU	0.72
mly_1097956741833103_000.png	056knh	0.65
mly_1097956741833103_001.png	MIC OFF /NU	0.76
mly_1098600857298858_000.png	Autocentar N	1.00
mly_1098600857298858_001.png	OSIGURANJE VOZILA	0.90
mly_1098600857298858_002.png	TEHNICKI PREGLED	0.91
mly_1098600857298858_003.png	ZAMJEI	0.90
mly_1098600857298858_004.png	GUMA	1.00
mly_1098600857298858_005.png	NAJPOVOLJNIJE CIJ	0.79
mly_1099099517598404_000.png	023kmh	0.63
mly_1099099517598404_001.png	MIC 0/NU	0.42
mly_1099284087260497_000.png	Croatla Boat Show	0.67
mly_1099581313860141_000.png	Na TEL;	0.44
mly_1099581313860141_001.png	UPRAVO	0.54
mly_1099581313860141_004.png	Do	0.85
mly_1099581313860141_007.png	CVJECARNICA	0.98
mly_1099581313860141_008.png	NCR	0.46
mly_1099581313860141_009.png	"LUCIJA"	0.91
mly_1099581313860141_010.png	Dostava	0.72
mly_1099581313860141_011.png	SVAKODNEVNA	0.41
mly_1099581313860141_012.png	549	1.00
mly_1099581313860141_014.png	STOL	0.98
mly_1099581313860141_015.png	PECE]	0.75
mly_110050971168428_000.png	MIC OFF /NU	0.65
mly_1100692858698796_000.png	BZORPUT	0.79
mly_1100692858698796_002.png	OVANJA	0.67
mly_1101667947005292_000.png	M stov	0.73
mly_1102354534157892_001.png	HIC OFF /NU	0.46
mly_1104148980075233_000.png	APOTEKA	0.96
mly_110431311127780_000.png	MIC UFF /NU	0.66
mly_1105008547501270_000.png	03Zkmh	0.62
mly_1105008547501270_001.png	/NU	0.62
mly_1106530459916037_000.png	QJEVSKA PIVARA da.	0.51
mly_1107203407165243_000.png	039kih	0.65
mly_1107203407165243_001.png	MIC OFF /NU	0.53
mly_1107993460426884_001.png	MIC OFF /NU	0.76
mly_1108577079627869_000.png	40	0.98
mly_1109376283674129_000.png	huc	0.87
mly_1110145533315366_000.png	STOP)	0.69
mly_1110667936100212_000.png	HIC OFF /NU	0.82
mly_1110810469383384_000.png	2	0.98
mly_1110810469383384_001.png	2	0.58
mly_1110810469383384_008.png	Bupek]	0.63
mly_1110810469383384_010.png	OŽIVLJAVA	0.81
mly_1110810469383384_011.png	OSJETILA	0.60
mly_1111972400031802_000.png	068knh	0.42
mly_1111972400031802_001.png	MIC OFF /NU	0.65
mly_1112032802618024_001.png	BLACKUE   DR9BOM-1CHUHD	0.46
mly_1112401646154840_000.png	devet	0.95
mly_1112651472955366_000.png	aviokante	0.51
mly_111297592054642_001.png	373-07-20	0.52
mly_111297592054642_002.png	13:53:10	0.80
mly_111297592054642_004.png	HIC	0.75
mly_111297592054642_005.png	OFF	1.00
mly_111297592054642_006.png	BLACKUUE DR750S-ZCHFHD-FHD	0.56
mly_1113079744061591_000.png	Ceresit	0.53
mly_1113907895766985_000.png	2021-05-11	0.93
mly_1113907895766985_001.png	21:38:44	0.97
mly_1113907895766985_003.png	HDR	1.00
mly_1114289959050831_000.png	Taxi	0.52
mly_1114289959050831_001.png	UPRIVO	0.42
mly_1114289959050831_002.png	PECENO	0.98
mly_1114289959050831_003.png	Do	0.60
mly_1114289959050831_006.png	POLI	0.75
mly_1114289959050831_007.png	OD	0.93
mly_1114289959050831_008.png	STOLA	0.59
mly_1114422368968431_000.png	MIC OFF /NU	0.53
mly_1114497665628596_000.png	MIC OFF /NU	0.70
mly_1115678487390761_002.png	4	0.43
mly_1116937812108878_000.png	30	1.00
mly_1116937812108878_001.png	Heineken	1.00
mly_1117167195459341_000.png	piteis	0.71
mly_1117772565395933_001.png	2017/05/26	0.69
mly_1117777829566619_000.png	Auto-0008b	0.67
mly_1117777829566619_001.png	2023-07-20	0.73
mly_1117777829566619_002.png	17:08:53	0.67
mly_1117777829566619_004.png	MIC OFF	0.44
mly_1117777829566619_005.png	BLACKUE DR750S-ZCHFHD-FHD	0.43
mly_1117874179248547_000.png	emmezeta	0.99
mly_1118053585352338_001.png	(	0.53
mly_1118191348688704_000.png	MIC OFF /NU	0.68
mly_1118191348688704_001.png	BLACKUE   DR9BBM-ICHUHD	0.41
mly_1118327155331571_000.png	5	0.59
mly_1118327155331571_002.png	2016/12/28	0.84
mly_1118422103410331_000.png	BLAU	0.95
mly_1118422103410331_001.png	melt	0.55
mly_1118422103410331_003.png	Lia	0.44
mly_1119311438574243_001.png	HIC OFF /NU	0.78
mly_1120435735126641_000.png	HIC OFF /NU	0.80
mly_1120521561759320_000.png	HIC	0.50
mly_112117431377381_000.png	vš)	0.46
mly_112117431377381_001.png	026kmh	0.65
mly_1121446468969792_001.png	MIC OFF /NU	0.81
mly_1121577975527874_000.png	018knh	0.73
mly_1122068942381572_001.png	039kih	0.85
mly_1122068942381572_002.png	MIC OFF /NU	0.79
mly_1122153475208507_001.png	048kmh	0.63
mly_1122153475208507_002.png	MIC OFF /NU	0.62
mly_1122423708808472_000.png	034kih	0.47
mly_1122423708808472_001.png	MIC OFF /NU	0.63
mly_1122423708808472_002.png	BLACKUE  DR9BOM-ICHUHD	0.47
mly_1123200852843129_000.png	NZUM	0.97
mly_1123200852843129_001.png	SHe	0.44
mly_1123200852843129_003.png	KONZU	0.92
mly_1123200852843129_005.png	OD POLJA	0.46
mly_1123585959428249_000.png	BLAU	0.73
mly_1123585959428249_001.png	LINE	1.00
mly_1124520764699133_000.png	MIC UFF /NU	0.58
mly_1124812798002901_001.png	Cental	0.99
mly_1124821202116080_000.png	015kih	0.62
mly_1124821202116080_001.png	MIC OFF /NU	0.60
mly_1124821202116080_002.png	BLACKUE DR9BOM-ICHUHD	0.53
mly_1125046337971327_003.png	BICIKLI	1.00
mly_1125046337971327_005.png	SERVIS	0.95
mly_1125046337971327_006.png	TREK	1.00
mly_1126298022012967_000.png	047kmh	0.70
mly_1126298022012967_001.png	MIC OFF /NU	0.67
mly_1126722101169684_001.png	HOTEL	0.75
mly_1127031668720228_000.png	073knh	0.66
mly_1127031668720228_001.png	MIC OFF /NU	0.76
mly_1127478145924253_000.png	vesehicur	0.53
mly_1127957704379452_000.png	2021	1.00
mly_1127957704379452_001.png	05-14 12:23:30	0.85
mly_1127957704379452_003.png	HDR	1.00
mly_1129523704219663_000.png	10110]	0.61
mly_1130104480824014_000.png	MIC UFF/NU	0.62
mly_1130104480824014_001.png	BLACKUUE DR9BOM-1CH/UHD	0.40
mly_1130152038302978_000.png	045kih	0.51
mly_1130152038302978_001.png	MIC OFF /NU	0.70
mly_1130152038302978_002.png	BLACKUE  DR9BOM-ICHUHD	0.43
mly_1130504275257372_000.png	56	0.50
mly_1131281010627932_000.png	Auto SA	0.50
mly_1131281010627932_002.png	0	0.56
mly_1131281010627932_004.png	KUCA	0.51
mly_1131519965095797_000.png	felicita	0.95
mly_1131613155487890_000.png	DENTE	1.00
mly_1131936700649763_000.png	2021-05-14 20	0.54
mly_1131936700649763_003.png	HDR	1.00
mly_1132263261450866_000.png	038knh	0.60
mly_1132263261450866_001.png	MIC OFF/NU	0.94
mly_1135555221473148_000.png	Bre	0.46
mly_1139149093163185_000.png	MIC	0.63
mly_1139385503296211_000.png	40	1.00
